objid,pmL,pmB,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,elodieFeH,elodieTEff,elodieBV
1237666229109195811,-3.480145,0.8666635,272.951281394706,24.1196439054701,20.78739,20.1012,19.6225,19.41035,19.3628,0.07986672,0.01782885,0.01626171,0.02132751,0.06473024,-0.49,5838,0.51
1237666209782825015,-5.568907,-5.8782,271.98782791721,23.0258523945936,16.59064,16.85432,17.28202,17.57154,17.86704,0.006235864,0.004045322,0.00497451,0.006510159,0.01837484,-1.62,6890,0.063
1237666210320024417,9.657188,4.528068,273.024231772886,23.0906222321626,17.66308,16.41401,16.14938,16.06794,16.00905,0.01047049,0.003723359,0.003850864,0.004208379,0.007157427,-0.5,7000,0
1237666210319761497,0,0,272.276605888354,23.2888673869944,18.16357,16.98782,16.56622,16.29781,16.34869,0.01339156,0.00440035,0.004378979,0.004451161,0.008349614,-1.5,6000,0
1237666210319761820,-0.1937793,-1.723617,272.349058805587,23.2982019129894,20.56543,18.9381,18.20888,17.88434,17.75566,0.05789756,0.008800482,0.007174221,0.007397876,0.01844775,-0.61,5132,0.764
1237666210319761820,-0.1937793,-1.723617,272.349058805587,23.2982019129894,20.56543,18.9381,18.20888,17.88434,17.75566,0.05789756,0.008800482,0.007174221,0.007397876,0.01844775,-0.55,5455,0.652
1237666227498516726,82.14022,-14.88287,272.25571023376,23.005892482391,21.54706,20.52589,20.13848,19.60271,20.09033,0.14262,0.02521971,0.02325665,0.02055656,0.1188033,-0.15,6155,0.499
1237666228035125289,-11.18527,2.493896,271.793460123359,23.6488758970806,20.46189,18.93614,18.27015,18.00307,17.85277,0.05558476,0.009135428,0.007518704,0.007725301,0.0205019,-0.32,5651,0.564
1237666228035126888,-18.11399,-1.286281,271.961326573141,23.6689754428831,21.22417,19.73203,19.07328,18.79941,18.66574,0.09564288,0.01474057,0.01161722,0.01206331,0.04025506,-0.94,5613,0.712
1237666228035520256,1.646589,2.927954,272.887742312902,23.4072730094567,21.262,20.02708,19.71159,19.44608,19.21082,0.115781,0.01794553,0.01761976,0.02203209,0.06851791,-2.51,5684,0.427
1237666210856567955,-2.5252,1.215823,272.399833894251,23.8099515583399,21.23966,19.20363,18.35597,17.99015,17.79146,0.1003909,0.009937917,0.007767629,0.007725952,0.02032938,-0.23,4955,0.871
1237666210856633407,-0.523003,-4.794806,272.522285724138,23.7388156345337,19.77887,18.47491,17.83418,17.57429,17.47217,0.03517004,0.006896946,0.006115388,0.006329784,0.01640749,-0.4,5467,0.645
1237666210856634044,-1.680192,4.835063,272.612195001182,23.6740456494353,20.0133,18.56591,17.92474,17.67123,17.51875,0.04126432,0.007241912,0.006332471,0.006611019,0.01676661,-0.76,5320,0.704
1237666211393241272,1.440506,-3.212988,272.070970216659,24.3839194253369,21.23872,20.27569,19.84387,19.59691,19.39365,0.08875508,0.02074962,0.01977975,0.02477086,0.06286724,-1.71,5476,0.492
1237666211930112379,-1.555109,4.123976,272.220662660865,24.6332991052201,18.52052,16.77707,16.022,15.71391,15.51799,0.01650338,0.003847959,0.003498485,0.003416157,0.005427889,-0.59,5126,0.828
1237666228572127340,12.27727,-8.081175,272.279970289232,23.9141427540217,18.85818,17.19086,16.4593,16.15331,16.00148,0.01912587,0.004456176,0.004056709,0.004260942,0.006573181,-0.44,4845,0.816
1237666228572324944,0,0,272.800207526598,23.8281396391001,21.30388,19.73952,19.07879,18.86978,18.749,0.1051894,0.01460604,0.01136961,0.01430266,0.03660804,-0.55,5455,0.652
1237666229108867669,-7.47834,-10.24542,272.272492695622,24.4777239872033,18.28296,16.61095,15.92057,15.65164,15.50082,0.01482986,0.003520228,0.003438724,0.003563064,0.005447486,-0.24,5221,0.786
1237666209783022564,-11.345,2.64892,272.462157466475,22.892897996245,19.95631,18.95834,18.55827,18.46215,18.36149,0.038675,0.00912525,0.00871629,0.01009685,0.0253974,-2.5,6000,0
1237666210319697312,-2.030042,-5.485414,272.263004610224,23.4256690308654,21.16512,19.72508,19.06963,18.77428,18.65547,0.09249535,0.01361809,0.01142715,0.01197378,0.03532977,-0.76,5320,0.704
1237666227498583035,-6.372171,-0.02108414,272.455201057475,23.0049396311784,21.21314,19.64908,18.97496,18.73072,18.5759,0.1026795,0.01368499,0.01072247,0.01235012,0.03578099,-0.35,5377,0.656
1237666210856763842,-11.4236,-7.636869,272.861775599354,23.5704685106055,18.11518,18.17731,18.54569,18.79449,19.04306,0.01354348,0.006450682,0.009301683,0.0130189,0.04892015,-0.06,9640,-0.021
1237666210856502569,-11.51398,1.271057,272.222219532262,23.7421548968122,19.4726,18.09068,17.36889,16.97335,16.73471,0.02944568,0.005865056,0.005015615,0.005031921,0.01036051,-0.32,5651,0.564
1237666210856698986,-0.8529623,0.8668554,272.666937687157,23.6824163528753,21.26784,20.00518,19.7276,19.67093,19.49442,0.1029247,0.0157528,0.01774938,0.02313698,0.07295264,-2,6500,0
1237666211393635968,2.648483,-1.644583,273.049534390434,23.9663751006795,20.76333,19.68969,19.20979,19.03291,18.87226,0.06194753,0.01423958,0.01270996,0.01532855,0.03734545,-0.56,6136,0.422
1237666211929982052,-1.11784,-3.556101,272.006042852695,24.8781442232659,20.48512,19.1291,18.51181,18.27186,18.21051,0.06096563,0.009898475,0.008548521,0.009635732,0.02679788,-0.71,5285,0.692
1237666211930243194,-5.870496,-0.6005429,272.483387841737,24.5250555008024,19.31854,17.74153,17.12132,16.8985,16.79049,0.026614,0.005115421,0.004501724,0.004879124,0.01008196,0.17,5761,0.66
1237666226961711228,-11.05493,9.150861,272.229078283794,22.5995597014965,16.16329,14.79939,14.89849,14.98958,15.03948,0.005284654,0.002972221,0.003658756,0.003527393,0.004549716,-2,8500,0
1237666228572063119,-56.88246,29.2704,272.286801122054,24.0878539625678,19.39537,18.05432,17.33756,17.02588,16.87864,0.02578232,0.006016939,0.004994653,0.005303335,0.01052914,-1.7,5405,0.621
1237666228572389779,-6.799409,1.423553,272.981557806954,23.7085257541454,19.79504,18.18959,17.56135,17.36394,17.24948,0.03490482,0.006400012,0.005428026,0.006034348,0.01260618,0.06,5762,0.622
1237666229109196143,-45.78563,53.20063,273.018715284524,24.1177906237315,20.41828,17.95538,16.73413,16.25695,15.96106,0.0602746,0.005653784,0.004179027,0.003871647,0.006619876,-0.28,4382,1.069
