objid,ra,dec,pmL,pmB,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z
1237665328785260756,202.65987210243,30.1433719957756,-26.7528,-1.938359,23.19505,20.88314,19.404,17.86127,17.0327,0.5151114,0.03178411,0.01483046,0.007712248,0.01210917
1237665328785260765,202.549564484835,30.2073417097638,15.95821,21.47503,23.11465,21.59016,20.28592,18.84733,18.11044,0.5004754,0.05801705,0.0289006,0.01441246,0.02683107
1237665328785260770,202.53492841408,30.2021171541006,-5.895538,19.35122,22.03965,20.54741,19.95223,19.73574,19.5212,0.1992501,0.02539962,0.02179799,0.02703257,0.08229771
1237665328785260781,202.538473966144,30.1123652428023,-4.882747,6.523773,20.93844,20.13756,19.83362,19.71926,19.85293,0.08261026,0.01932868,0.02069937,0.02761458,0.1132992
1237665328785260810,202.595888427612,30.156723329664,-9.883336,1.92894,21.73533,21.07819,20.83635,20.71478,20.38589,0.1573695,0.03781746,0.04432522,0.06257079,0.1776845
1237665328785260814,202.638689309221,30.1988255517392,-5.917763,-0.2118879,21.97138,20.95439,20.78508,20.7649,20.46049,0.1901727,0.03396865,0.04205282,0.0644621,0.186622
1237665328785260825,202.653335696388,30.1765421788092,-5.534021,-9.29694,21.20142,20.96182,20.40208,20.02769,20.36176,0.1019613,0.03446897,0.03126225,0.03521927,0.17549
1237665328785260859,202.52934296926,30.152812254466,-8.403315,2.887547,24.05719,21.47458,19.97485,18.98148,18.44247,0.9102891,0.05148903,0.02241818,0.01549533,0.03368552
1237665328785260892,202.557638801907,30.1789855402218,-1.639258,32.65885,22.88134,22.09503,20.70547,20.12893,19.58834,0.4117186,0.0864212,0.04007163,0.03791593,0.08905847
1237665328785260910,202.56696039269,30.1821615959565,-12.66988,1.315447,21.96361,21.18005,20.79884,20.76712,20.4532,0.204073,0.04482855,0.04735795,0.07311896,0.213313
1237665328785260937,202.566043756442,30.1109584509867,0,0,23.44081,21.34937,20.60604,20.31409,20.26784,0.6528574,0.04756274,0.03773222,0.04535311,0.1652619
1237665328785260949,202.59251192607,30.1876058169135,0,0,25.8343,22.68033,21.30783,19.91664,19.1251,0.5780431,0.1379506,0.06396068,0.03125907,0.05803128
1237665328785260996,202.607569830904,30.1204899989498,-6.958278,15.83345,23.80942,21.35827,20.02398,19.03342,18.51064,0.8005929,0.04659172,0.02351623,0.01624471,0.03594705
1237665328785261033,202.641967204533,30.1610563243794,0,0,23.26363,21.38439,20.99228,20.86778,20.47171,0.5721577,0.04948737,0.05227244,0.07477301,0.2008733
1237665328785261037,202.639680925486,30.1363264850192,0,0,23.72391,22.40417,20.87306,19.48504,18.62511,0.7763988,0.1113,0.04652849,0.02300498,0.03991408
1237665328785261042,202.651553848639,30.1680185604767,0,0,22.32971,21.46516,21.17578,21.0144,20.37446,0.2631789,0.05187806,0.05965086,0.08291728,0.180315
1237665328785261058,202.663680556331,30.1807627972857,-7.92673,7.821434,22.673,21.64834,20.2939,19.39577,18.95964,0.335369,0.05851366,0.02828045,0.02114815,0.05160269
1237665328785261078,202.6793297496,30.1911403260749,0,0,22.81011,21.46778,20.84112,20.51473,20.64718,0.385007,0.05033021,0.04325014,0.05164978,0.2187522
1237665328785261113,202.684892383755,30.1128709401818,0,0,24.16554,22.06177,20.51488,19.83408,19.50994,0.9324717,0.08159954,0.03425797,0.02950246,0.08189702
1237665328785326084,202.709304696574,30.1521571904105,-2.873438,12.83435,18.69513,17.54238,17.15738,17.00096,16.932,0.01765166,0.004944406,0.00469292,0.005276002,0.01139313
1237665328785326095,202.733374208236,30.1469611694157,-6.636331,3.560033,19.0605,18.09692,17.84418,17.72571,17.72413,0.02198255,0.006108003,0.00612491,0.007234032,0.0193477
